Date,Open,High,Low,Close,Adj Close,Volume
11/2/2021,423.149994,424.959991,423.01001,424.690002,423.13916,2989200
11/3/2021,424.140015,427.660004,423.690002,427.25,425.689789,3562900
11/4/2021,427.850006,429.369995,427.540009,429.25,427.682495,4287300
11/5/2021,431.549988,432.76001,429.299988,430.709991,429.137146,4942000
11/8/2021,431.880005,432.339996,430.5,431.230011,429.655273,3511600
11/9/2021,431.559998,431.75,428.339996,429.720001,428.150787,4696000
11/10/2021,428.089996,429.730011,424.809998,426.26001,424.70343,6350700
11/11/2021,427.700012,427.820007,426.390015,426.399994,424.842896,3634600
11/12/2021,427.660004,430.170013,426.730011,429.570007,428.001343,3651900
11/15/2021,430.950012,431.01001,428.649994,429.769989,428.200592,3122300
11/16/2021,429.519989,432.589996,429.470001,431.410004,429.834595,3267000
11/17/2021,431.23999,431.390015,429.839996,430.369995,428.798401,3764900
11/18/2021,431.440002,432.170013,428.799988,431.859985,430.282959,4732200
11/19/2021,431.869995,432.98999,430.380005,431.049988,429.475891,4886200
11/22/2021,432.929993,435.410004,429.720001,429.910004,428.340088,4868300
11/23/2021,429.570007,431.290009,427.040009,430.470001,428.898041,6795200
11/24/2021,428.559998,431.75,427.709991,431.529999,429.954163,4569600
11/26/2021,425.190002,426.519989,420.899994,422.140015,420.59848,7702500
11/29/2021,426.709991,428.980011,424.549988,427.23999,425.67981,6300800
11/30/2021,424.799988,426.630005,418.630005,419.059998,417.529694,8657600
12/1/2021,424.470001,427.220001,413.970001,414.23999,412.727295,8337000
12/2/2021,414.420013,422.059998,414.029999,420.559998,419.024231,10417700
12/3/2021,422.119995,423.190002,412.769989,416.839996,415.31781,10226900
12/6/2021,419.410004,423.660004,417,421.820007,420.279633,7289500
12/7/2021,426.980011,431.100006,426.940002,430.48999,428.917969,4731900
12/8/2021,430.950012,432.140015,429.23999,431.700012,430.123566,4476500
12/9/2021,430.459991,431.320007,428.609985,428.76001,427.194305,5035400
12/10/2021,431.440002,432.959991,428.950012,432.850006,431.269348,6236500
12/13/2021,432.359985,432.660004,428.75,429.01001,427.44339,5923900
12/14/2021,425.799988,428.23999,423.200012,426.089996,424.534027,6522900
12/15/2021,426.109985,432.980011,423.670013,432.75,431.169708,6871300
12/16/2021,434.559998,434.799988,427.350006,428.839996,427.273987,7159500
12/17/2021,425.850006,428.790009,422.670013,424.390015,422.84024,8882700
12/20/2021,419.390015,420.220001,416.299988,419.799988,418.266998,9903400
12/21/2021,421.649994,425.850006,419.519989,425.690002,425.690002,6916700
12/22/2021,425.450012,430.089996,425.320007,429.98999,429.98999,4992200
12/23/2021,430.910004,434.100006,430.869995,432.640015,432.640015,5032700
12/27/2021,433.980011,438.820007,433.950012,438.809998,438.809998,4986300
12/28/2021,439.279999,440.190002,437.660004,438.480011,438.480011,4865800
12/29/2021,438.5,439.950012,437.540009,439.01001,439.01001,4596700
12/30/2021,439.390015,440.359985,437.320007,437.769989,437.769989,3751800
12/31/2021,437.230011,438.380005,436.390015,436.570007,436.570007,5185600
1/3/2022,437.929993,439.269989,435.640015,439.25,439.25,6017300
1/4/2022,440.579987,441.26001,437.220001,439.070007,439.070007,6262200
1/5/2022,438.779999,439.410004,430.529999,430.660004,430.660004,7539600
1/6/2022,430.200012,432.829987,427.899994,430.079987,430.079987,7971500
1/7/2022,430.209991,431.359985,427.200012,428.589996,428.589996,6157200
1/10/2022,425.380005,428.190002,419.769989,428.029999,428.029999,10481500
1/11/2022,427.679993,431.950012,424.779999,431.779999,431.779999,7282400
1/12/2022,433.559998,435.040009,431.140015,433.070007,433.070007,8270300
1/13/2022,434.089996,434.720001,426.089996,427.100006,427.100006,7521300
1/14/2022,423.950012,427.579987,422.809998,427.230011,427.230011,9959200
1/18/2022,422.619995,424.980011,417.329987,419.73999,419.73999,10681500
1/19/2022,421.170013,422.540009,415.070007,415.329987,415.329987,8184100
1/20/2022,417.170013,421.75,410.290009,410.76001,410.76001,8907600
1/21/2022,409.709991,411.929993,402.660004,402.690002,402.690002,16225900
1/24/2022,397.26001,404.880005,386.839996,404.369995,404.369995,22970700
1/25/2022,398.170013,404.26001,392.730011,399.459991,399.459991,16836300
1/26/2022,405.660004,408.200012,394.339996,398.559998,398.559998,14377300
1/27/2022,402.929993,405.970001,394.820007,396.540009,396.540009,12455200
1/28/2022,397.820007,406.329987,393.299988,406.26001,406.26001,12096800
1/31/2022,405.670013,413.970001,404.350006,413.690002,413.690002,9200400
2/1/2022,414.339996,417.040009,410.899994,416.390015,416.390015,8154900
