Date,Open,High,Low,Close,Adj Close,Volume
2021-03-22,359.790009,363.500000,359.760010,362.070007,357.093842,3417600
2021-03-23,361.529999,362.940002,358.510010,359.410004,354.470428,4954600
2021-03-24,360.709991,362.269989,357.420013,357.420013,352.507782,4099000
2021-03-25,356.079987,360.239990,354.140015,359.429993,354.490143,5487300
2021-03-26,359.369995,364.369995,358.750000,364.010010,360.273193,3322600
2021-03-29,362.570007,364.679993,361.109985,363.790009,360.055420,3143300
2021-03-30,362.559998,363.470001,361.269989,362.859985,359.134949,3696200
2021-03-31,363.390015,365.820007,363.390015,364.299988,360.560181,7470300
2021-04-01,366.200012,368.290009,366.029999,368.160004,364.380554,5132000
2021-04-05,370.890015,374.070007,370.809998,373.470001,369.636017,3764100
2021-04-06,373.040009,374.329987,372.670013,373.260010,369.428223,3583500
2021-04-07,373.140015,374.079987,372.720001,373.730011,369.893402,2768900
2021-04-08,374.970001,375.559998,374.059998,375.549988,371.694702,3949400
2021-04-09,375.420013,378.399994,375.329987,378.250000,374.366974,2627500
2021-04-12,377.700012,378.649994,377.079987,378.420013,374.535248,2747500
2021-04-13,378.369995,380.119995,377.920013,379.450012,375.554657,2985500
2021-04-14,379.459991,380.510010,377.700012,378.230011,374.347198,3691100
2021-04-15,380.329987,382.540009,380.279999,382.290009,378.365540,3573800
2021-04-16,383.559998,384.149994,382.190002,383.630005,379.691772,3252500
2021-04-19,382.619995,383.089996,380.369995,381.739990,377.821136,3945700
2021-04-20,380.489990,381.160004,377.470001,378.940002,375.049866,4106700
2021-04-21,378.279999,382.670013,378.140015,382.500000,378.573334,3640100
2021-04-22,382.320007,383.119995,377.959991,378.989990,375.099365,3965000
2021-04-23,379.570007,384.459991,379.459991,383.029999,379.097900,3781100
2021-04-26,383.730011,384.450012,383.320007,383.859985,379.919342,3125200
2021-04-27,384.200012,384.380005,382.720001,383.739990,379.800598,3370600
2021-04-28,384.100006,385.170013,383.239990,383.559998,379.622467,3960400
2021-04-29,386.399994,386.739990,382.809998,386.119995,382.156189,4209900
2021-04-30,383.910004,384.760010,382.730011,383.570007,379.632385,5219200
2021-05-03,385.559998,385.940002,383.959991,384.440002,380.493408,4180800
2021-05-04,382.519989,382.959991,378.450012,382.100006,378.177460,5485600
2021-05-05,383.720001,383.910004,381.440002,382.170013,378.246765,4410700
2021-05-06,382.260010,385.369995,380.269989,385.279999,381.324768,4737300
2021-05-07,386.019989,388.679993,385.329987,388.029999,384.046570,3516600
